season,nominal.price,real.price,nom.price.D1,nom.price.D2,nom.price.D3,nom.price.D4,min.adm.pr
1977,0.85,197,0.96,0.83,0.68,0.58,n/a
1978,1.05,224,1.19,0.99,0.82,0.75,n/a
1979,1.18,222,1.29,1.16,0.99,0.91,n/a
1980,1.50,239,1.67,1.53,1.21,1.02,n/a
1981,1.84,261,2.05,1.85,1.43,1.20,n/a
1982,2.03,265,2.32,1.93,1.59,1.35,n/a
1983,2.24,281,2.55,2.17,1.83,1.45,n/a
1984,2.44,291,2.76,2.42,1.91,1.63,n/a
1985,2.77,312,3.21,2.46,2.11,1.79,n/a
1986,2.97,323,3.42,2.63,2.33,2.05,n/a
1987,3.21,336,3.70,2.92,2.48,2.35,n/a
1988,3.56,354,4.26,3.22,2.83,2.51,n/a
1989,3.95,365,4.73,3.71,3.13,2.69,n/a
1990,4.48,378,5.39,4.21,3.42,3.17,n/a
1991,5.32,424,6.46,4.82,3.94,3.70,n/a
1992,6.25,481,7.55,5.47,4.45,4.28,n/a
1993,7.09,537,8.77,6.21,5.11,4.31,n/a
1994,7.55,557,9.17,6.64,5.32,4.49,n/a
1995,8.75,625,11.58,6.46,5.46,5.60,n/a
1996,9.64,672,12.74,7.62,5.97,5.37,n/a
1997,10.74,722,14.59,7.96,6.66,5.72,n/a
1998,11.37,749,14.99,9.30,7.51,5.85,n/a
1999,12.30,799,16.27,9.81,8.64,6.45,n/a
